738 811 -1 27 
710 690 -1 -1 
646 524 -1 -1 
562 308 -1 -1 
501 163 -1 -1 
443 50 -1 -1 
398 29 -1 -1 
355 45 -1 -1 
307 157 -1 -1 
267 321 -1 -1 
234 448 -1 -1 
192 595 -1 -1 
151 713 -1 -1 
135 795 -1 -1 
169 820 -1 -1 
219 812 -1 -1 
244 771 -1 -1 
267 688 -1 -1 
295 602 -1 -1 
342 543 -1 -1 
420 530 -1 -1 
506 548 -1 -1 
566 579 -1 -1 
604 633 -1 -1 
629 705 -1 -1 
644 775 -1 -1 
650 820 -1 -1 
692 831 0 -1 
468 290 -1 35 
491 345 -1 -1 
495 404 -1 -1 
442 424 -1 -1 
397 410 -1 -1 
370 383 -1 -1 
368 323 -1 -1 
414 264 28 -1 
