82 790 -1 -1 
209 795 -1 -1 
328 793 -1 -1 
447 797 -1 -1 
558 787 -1 -1 
649 753 -1 -1 
692 655 -1 -1 
693 551 -1 -1 
682 414 -1 -1 
695 296 -1 -1 
683 182 -1 -1 
669 59 -1 -1 
595 20 -1 -1 
477 8 -1 -1 
318 15 -1 -1 
225 29 -1 -1 
116 63 -1 -1 
56 115 -1 -1 
43 218 -1 -1 
36 365 -1 -1 
30 528 -1 -1 
44 618 -1 -1 
101 677 -1 -1 
202 683 -1 -1 
321 685 -1 -1 
459 681 -1 -1 
553 655 -1 -1 
585 565 -1 -1 
584 424 -1 -1 
588 311 -1 -1 
580 177 -1 -1 
546 113 -1 -1 
427 95 -1 -1 
318 100 -1 -1 
231 126 -1 -1 
166 169 -1 -1 
139 246 -1 -1 
138 340 -1 -1 
140 426 -1 -1 
125 492 -1 -1 
148 563 -1 -1 
238 593 -1 -1 
334 585 -1 -1 
437 587 -1 -1 
494 544 -1 -1 
500 437 -1 -1 
499 316 -1 -1 
495 216 -1 -1 
440 167 -1 -1 
334 176 -1 -1 
249 212 -1 -1 
227 298 -1 -1 
222 402 -1 -1 
219 484 -1 -1 
265 522 -1 -1 
366 513 -1 -1 
407 458 -1 -1 
414 359 -1 -1 
409 269 -1 -1 
344 251 -1 -1 
319 301 -1 -1 
318 366 -1 -1 
312 438 -1 -1 
281 476 -1 -1 
256 401 -1 -1 
265 302 -1 -1 
291 229 -1 -1 
367 204 -1 -1 
437 232 -1 -1 
457 327 -1 -1 
453 411 -1 -1 
450 486 -1 -1 
405 533 -1 -1 
297 557 -1 -1 
192 525 -1 -1 
171 429 -1 -1 
180 341 -1 -1 
188 256 -1 -1 
219 188 -1 -1 
283 138 -1 -1 
392 136 -1 -1 
492 141 -1 -1 
537 220 -1 -1 
538 297 -1 -1 
540 383 -1 -1 
540 477 -1 -1 
535 554 -1 -1 
489 615 -1 -1 
367 636 -1 -1 
236 629 -1 -1 
117 607 -1 -1 
78 511 -1 -1 
86 397 -1 -1 
82 281 -1 -1 
95 174 -1 -1 
144 101 -1 -1 
223 72 -1 -1 
332 60 -1 -1 
439 59 -1 -1 
545 67 -1 -1 
628 118 -1 -1 
633 196 -1 -1 
639 301 -1 -1 
639 437 -1 -1 
640 529 -1 -1 
624 633 -1 -1 
601 701 -1 -1 
474 724 -1 -1 
337 729 -1 -1 
213 727 -1 -1 
116 720 -1 -1 
57 721 -1 -1 
32 743 -1 -1 
42 773 -1 -1 
